$ csvcut -K 1 -c 4,6 appearances.csv | sort | uniq -c | sort -nr
   4 Simon Wolfson,Unknown
   4 Sheila McKechnie,Unknown
   4 Shaun Woodward,Labour Party
   4 Sarah Churchwell,Unknown
   4 Sara Morrison,Unknown
   4 Sally Oppenheim-Barnes,Conservative Party
   4 Sadiq Khan,Labour Party
   4 Ruth Kelly,Labour Party
   4 Rosie Barnes,Unknown
   4 Rory Stewart,Conservative Party
   4 Ron Davies (Welsh politician),Labour Party
   4 Robert Winston,Labour Party
   4 Richard Branson,Unknown
   4 Peter Riddell,Unknown
   4 Paul Foot (journalist),Unknown
   4 Nigel Dodds,Democratic Unionist Party
   4 Niall Ferguson,Unknown
   4 Natalie Bennett,Green Party
   4 Muriel Gray,Unknown
   4 Monty Finniston,Unknown
   4 Mike O'Brien (British politician),Labour Party
   4 Michelle Dewberry,Unknown
   4 Michael Foot,Labour Party
   4 Merryn Somerset Webb,Unknown
   4 Merlyn Rees,Labour Party
   4 Mary Kenny,Unknown
   4 Mary Creagh,Labour Party
   4 Martin Bell,Independent
   4 Mark Steel,Unknown
   4 Maajid Nawaz,Unknown
   4 Lynne Featherstone,Liberal Party
   4 Louise Mensch,Conservative Party
   4 Louise Bours,UK Independence Party
   4 Kate Hoey,Labour Party
   4 Kate Andrews,Unknown
   4 Judith Hart,Labour Party
   4 Joyce Quin,Labour Party
   4 John Sentamu,Unknown
   4 John Hackett (British Army officer),Unknown
   4 John Gummer,Conservative Party
   4 John Biffen,Conservative Party
   4 Jeffrey Archer,Conservative Party
   4 Jane Reed,Unknown
   4 Ieuan Wyn Jones,Plaid Cymru
   4 Ian Wrigglesworth,Unknown
   4 Hilary Armstrong,Labour Party
   4 Greg Dyke,Unknown
   4 Greg Clark,Liberal Party
   4 George Walden,Unknown
   4 Gavin Laird,Unknown
   4 Garret FitzGerald,Fine Gael
   4 Frances Morrell,Unknown
   4 Dr. Ann Robinson,Unknown
   4 Dominic Lawson,Unknown
   4 Denis MacShane,Labour Party
   4 Daniel Hannan,Conservative Party
   4 Clarissa Dickson Wright,Unknown
   4 Chantal Cuer,Unknown
   4 Camilla Tominey,Unknown
   4 Bríd Rodgers,Social Democratic and Labour Party
   4 Brian Mawhinney,Conservative Party
   4 Bob Crow,Unknown
   4 Bernard Ingham,Unknown
   4 Barry Gardiner,Labour Party
   4 Armando Iannucci,Unknown
   4 Anne-Marie Huby,Unknown
   4 Anne Sofer,Unknown
   4 Anne Atkins,Unknown
   4 Angela Rayner,Labour Party
   4 Alun Michael,Labour Party
   4 Adam Price,Plaid Cymru
   4 "William Whitelaw, 1st Viscount Whitelaw",Conservative Party
   4 "Tony Banks, Baron Stratford",Labour Party
   4 "Thomas Galbraith, 2nd Baron Strathclyde",Conservative Party
   4 "Patricia Hollis, Baroness Hollis of Heigham",Unknown
   4 "John Moore, Baron Moore of Lower Marsh",Conservative Party
   4 "Joan Walmsley, Baroness Walmsley",Liberal Party
   4 "Ian Lang, Baron Lang of Monkton",Unknown
   4 "Helena Kennedy, Baroness Kennedy of The Shaws",Labour Party
   4 "Diana Maddock, Baroness Maddock",Liberal Party
   3 Zanny Minton Beddoes,Unknown
   3 Zac Goldsmith,Unknown
   3 Yanis Varoufakis,MeRA25
   3 Walter Hayes,Unknown
   3 Trevor Phillips,Labour Party
   3 Tom Shakespeare,Unknown
   3 Tessa Munt,Liberal Party
   3 Teddy Taylor,Conservative Party
   3 Sue Stapely,Unknown
   3 Steve Jones (biologist),Unknown
   3 Stephen Twigg,Labour Party
   3 Stephen Crabb,Conservative Party
   3 Simon Thomas (politician),Plaid Cymru
   3 Shappi Khorsandi,Unknown
   3 Sarah Wollaston,Conservative Party
   3 Sarah Sands,Unknown
   3 Sandra Gidley,Liberal Party
   3 Roger Scruton,Unknown
   3 Roger Helmer,Conservative Party
   3 Richard Tice,Unknown
   3 Richard Madeley,Unknown
   3 Richard Burgon,Labour Party
   3 Rebecca Long-Bailey,Labour Party
   3 Ray Michie,Liberal Party
   3 Rajendra Persaud,Unknown
   3 Prue Leith,Unknown
   3 Peter Thorneycroft,Conservative Party
   3 Peter Tatchell,Unknown
   3 Paul Mason (journalist),Unknown
   3 Paul Johnson (writer),Unknown
   3 Paul Channon,Conservative Party
   3 Patrick O'Flynn,UK Independence Party
   3 Patrick McLoughlin,Conservative Party
   3 Patrick Mayhew,Conservative Party
   3 Patrick Jenkin,Conservative Party
   3 Patrick Harvie,Green Party
   3 Paris Lees,Unknown
   3 Nicola Horlick,Unknown
   3 Nicol Stephen,Liberal Party
   3 Nicholas Henderson,Unknown
   3 Nadhim Zahawi,Conservative Party
   3 Michael Nazir-Ali,Unknown
   3 Michael Meadowcroft,Unknown
   3 Michael Dobbs,Conservative Party
   3 Matt Forde,Unknown
   3 Mary Archer,Unknown
   3 Mark Serwotka,Unknown
   3 Margot James,Conservative Party
   3 Margo MacDonald,Independent
